,Reseñas,Target,Texto procesado
262,crÃ©dito,1,crã©dit
263,crujiente,1,crujient
264,nÃ­tido,1,nã­tid
265,cura,1,cur
266,cura-todo,1,cura-tod
267,fÃ¡cil,1,fã¡cil
268,linda,1,lind
269,monerÃ­a,1,monerã­
270,bailar,1,bail
271,empapado,1,empap
272,atrevido,1,atrev
273,atrevidamente,1,atrevid
274,apuesto,1,apuest
275,intrÃ©pido,1,intrã©pid
276,amanecer,1,amanec
277,deslumbrar,1,deslumbr
278,muy,1,muy
279,muerto,1,muert
280,decencia,1,decenci
281,decisivo,1,decis
282,decisiÃ³n,1,decisiã³n
283,dedicado,1,dedic
284,derrota,1,derrot
285,deferencia,1,deferent
286,significado,1,signific
287,delicioso,1,delici
288,delicadeza,1,delicadez
289,delicado,1,delic
290,deleite,1,deleit
291,confiable,1,confiabl
292,merecidamente,1,merecid
293,digno,1,dign
294,deseable,1,deseabl
295,deseando,1,des
296,deseoso,1,deseos
297,destino,1,destin
298,desmontable,1,desmont
299,devoto,1,devot
300,diestro,1,diestr
301,dignificar,1,dignific
302,dignidad,1,dignid
303,diligencia,1,diligent
304,diplomÃ¡tico,1,diplomã¡t
305,baratÃ­simo,1,baratã­sim
306,distinciÃ³n,1,distinciã³n
307,distintivo,1,distint
308,distinguido,1,distingu
309,diversificado,1,diversific
310,adivinar,1,adivin
311,divinamente,1,divin
312,dominar,1,domin
313,indudable,1,indud
314,paÃ­s,1,paã­s
315,los,1,los
316,sueÃ±os,1,sueã±
317,estupefacto,1,estupefact
318,prueba,1,prueb
319,ficticia,1,fictici
320,durable,1,durabl
321,dinÃ¡mica,1,dinã¡mic
322,ansioso,1,ansios
323,ansiosamente,1,ansi
324,afÃ¡n,1,afã¡n
325,serio,1,seri
326,formalmente,1,formal
327,seriedad,1,seried
328,facilitar,1,facilit
329,aliviado,1,alivi
330,facilidad,1,facil
331,usar,1,usar
332,trato,1,trat
333,entusiasmo,1,entusiasm
334,exuberante,1,exuber
335,exultante,1,exult
336,Ã©xtasis,1,ã©xtasis
337,extÃ¡tico,1,extã¡tic
338,extasiado,1,extasi
339,edificar,1,edific
340,educado,1,educ
341,eficaz,1,eficaz
342,efectivamente,1,efect
343,eficacia,1,eficaci
344,eficiente,1,eficient
345,esfuerzo,1,esfuerz
346,efusiÃ³n,1,efusiã³n
347,efusivo,1,efus
348,vivacidad,1,vivac
349,regocijado,1,regocij
350,exaltado,1,exalt
351,elaciÃ³n,1,elaciã³n
352,electrizar,1,electriz
353,esmeradamente,1,esmer
354,elevar,1,elev
355,Ã©lite,1,ã©lit
356,elocuencia,1,elocuent
357,envalentonar,1,envalenton
358,eminencia,1,eminent
359,empatizarse,1,empatiz
360,empatÃ­a,1,empatã­
361,autorizar,1,autoriz
362,empoderamiento,1,empoder
363,alentar,1,alent
364,Ã¡nimo,1,ã¡nim
365,hacerse,1,hac
366,por,1,por
367,entraÃ±able,1,entraã±
368,endosar,1,endos
369,avalado,1,aval
370,respalda,1,respald
371,energÃ©tico,1,energã©t
372,energizar,1,energiz
373,energÃ­a,1,energã­
374,el,1,el
375,fascinante,1,fascin
376,realza,1,realz
377,disfrutar,1,disfrut
378,iluminar,1,ilumin
379,iluminaciÃ³n,1,iluminaciã³n
380,ennoblecer,1,ennoblec
381,suficiente,1,suficient
382,embelesar,1,embeles
383,enriquecer,1,enriquec
384,emprendedor,1,emprendedor
385,entretiene,1,entretien
386,entusiasta,1,entusiast
387,atraer,1,atra
388,tentado,1,tent
389,tentador,1,tentador
390,confiar,1,confi
391,envidiable,1,envidi
392,equitativo,1,equit
393,ergonÃ³mico,1,ergonã³m
394,libre,1,libr
395,errores,1,error
396,erudito,1,erudit
397,Ã©tico,1,ã©tic
398,euforia,1,eufori
399,eufÃ³rico,1,eufã³ric
400,evaluativo,1,evalu
401,igualmente,1,igual
402,memorable,1,memor
403,eterno,1,etern
404,evocador,1,evoc
405,exaltaciÃ³n,1,exaltaciã³n
406,ejemplo,1,ejempl
407,excelente,1,excelent
408,exceder,1,exced
409,excesivo,1,exces
410,extremadamente,1,extrem
411,sobresalir,1,sobresal
412,sobresaliÃ³,1,sobresaliã³
413,excepcional,1,excepcional
414,excitar,1,excit
415,emocionado,1,emocion
416,emociÃ³n,1,emociã³n
417,estimulante,1,estimul
418,exonerar,1,exoner
419,expansivo,1,expans
420,expeditamente,1,expedit
421,expertamente,1,expert
422,Exquisito,1,exquisit
423,ensalzar,1,ensalz
424,extraordinariamente,1,extraordinari
425,jubiloso,1,jubil
426,exultaciÃ³n,1,exultaciã³n
427,captura,1,captur
428,ojo,1,ojo
429,llamativo,1,llamat
430,fabuloso,1,fabul
431,justa,1,just
432,bastante,1,bastant
433,justicia,1,justici
434,fe,1,fe
435,fiel,1,fiel
436,fielmente,1,fielment
437,fidelidad,1,fidel
438,fama,1,fam
439,famoso,1,famos
440,criador,1,criador
441,lujoso,1,lujos
442,trompeteo,1,trompete
443,aficionados,1,aficion
444,fantÃ¡stico,1,fantã¡stic
445,fascinaciÃ³n,1,fascinaciã³n
446,a,1,a
447,la,1,la
448,rÃ¡pido,1,rã¡pid
449,crecimiento,1,crecimient
450,acelerado,1,aceler
451,impecable,1,impec
452,favor,1,favor
453,favorito,1,favorit
454,favorecido,1,favorec
455,audaz,1,audaz
456,miedo,1,mied
457,factible,1,factibl
458,rico,1,ric
459,funciones,1,funcion
460,luchador,1,luchador
461,fÃ©rtil,1,fã©rtil
462,ferviente,1,fervient
463,fervorosamente,1,fervor
464,festivo,1,festiv
465,multa,1,mult
466,parecido,1,parec
467,finamente,1,fin
468,firme,1,firm
469,primera,1,primer
470,clase,1,clas
471,ostentoso,1,ostent
472,halagar,1,halag
473,perfecto,1,perfect
474,flexibilidad,1,flexibil
475,flexible,1,flexibl
476,floreciente,1,florecient
477,fluido,1,flu
478,aleteo,1,alete
479,afectuosamente,1,afectu
480,infalible,1,infal
481,principal,1,principal
482,previsiÃ³n,1,previsiã³n
483,formidable,1,formid
484,fortaleza,1,fortalez
485,fortuito,1,fortuit
486,afortunado,1,afortun
487,suerte,1,suert
488,fortuna,1,fortun
489,fragante,1,fragant
490,gratis,1,gratis
491,liberado,1,liber
492,libertad,1,libert
493,libertades,1,libertad
494,Fresco,1,fresc
495,novato,1,novat
496,fiesta,1,fiest
497,frugal,1,frugal
498,fructÃ­fero,1,fructã­fer
499,cumplimiento,1,cumplimient
500,futurista,1,futur
501,alegrÃ­a,1,alegrã­
502,ganancia,1,gananci
503,ganado,1,gan
504,retribuido,1,retribu
505,provechosamente,1,provech
506,galante,1,galant
507,gallardamente,1,gallard
508,friki,1,friki
509,joya,1,joy
510,gemas,1,gem
511,generosidad,1,gener
512,genio,1,geni
513,luz,1,luz
514,tenue,1,tenu
515,resplandeciente,1,resplandecient
516,relucir,1,reluc
517,Brillantina,1,brillantin
518,ostentaciÃ³n,1,ostentaciã³n
519,glorificar,1,glorific
520,glorioso,1,glorios
521,gloriosamente,1,glori
522,resplandor,1,resplandor
523,dado,1,dad
524,Dios,1,dios
525,oro,1,oro
526,dorado,1,dor
527,bondad,1,bond
528,voluntad,1,volunt
529,maravilloso,1,maravill
530,magnÃ­ficamente,1,magnã­fic
531,agraciado,1,agraci
532,grandioso,1,grandios
533,grandeza,1,grandez
534,gratificaciÃ³n,1,gratificaciã³n
535,satisfecho,1,satisfech
536,gratifica,1,gratif
537,satisfacer,1,satisfac
538,gratitud,1,gratitud
539,estupendo,1,estupend
540,mayor,1,mayor
541,mueca,1,muec
542,revolucionario,1,revolucionari
543,GuÃ­a,1,guã­
544,listeza,1,listez
545,chorro,1,chorr
546,granizo,1,graniz
547,martÃ­n,1,martã­n
548,pescador,1,pescador
549,sano,1,san
550,contraste,1,contr
551,sellos,1,sell
552,santificado,1,santific
553,manejable,1,manej
554,fÃ¡cilmente,1,fã¡cilment
555,manos,1,man
556,abajo,1,abaj
557,prÃ¡ctico,1,prã¡ctic
558,trabajo,1,trabaj
559,duro,1,dur
560,resistente,1,resistent
561,inofensivo,1,inofens
562,armonioso,1,armoni
563,armonÃ­a,1,armonã­
564,progreso,1,progres
565,saludable,1,salud
566,sentido,1,sent
567,sinceramente,1,sincer
568,reconfortante,1,reconfort
569,cielo,1,ciel
570,celestial,1,celestial
571,ayudado,1,ayud
572,servicial,1,servicial
573,hÃ©roe,1,hã©ro
574,heroico,1,heroic
575,heroÃ­na,1,heroã­n
576,alta,1,alta
577,calidad,1,calid
578,divertidÃ­simo,1,divertidã­sim
579,santo,1,sant
580,homenaje,1,homenaj
581,honesto,1,honest
582,honor,1,honor
583,honrado,1,honr
584,hurra,1,hurr
585,esperanzado,1,esperanz
586,hospitalario,1,hospitalari
587,caliente,1,calient
588,pastel,1,pastel
589,panqueques,1,panquequ
590,abrazo,1,abraz
591,humano,1,human
592,humilde,1,humild
593,humor,1,humor
594,humorÃ­stico,1,humorã­st
595,chistoso,1,chistos
596,ideal,1,ideal
597,idealizar,1,idealiz
598,Ã­dolo,1,ã­dol
599,idolatrar,1,idolatr
600,idÃ­lico,1,idã­lic
601,IlumÃ­nate,1,ilumã­nat
602,esclarecedor,1,esclarecedor
603,ilustre,1,ilustr
604,luminoso,1,lumin
605,inmaculado,1,inmacul
606,imaginativo,1,imagin
607,inmenso,1,inmens
608,imparcial,1,imparcial
609,apasionado,1,apasion
610,intachablemente,1,intach
611,importante,1,import
612,endeudado,1,endeud
613,individualizado,1,individualiz
614,indulgencia,1,indulgent
615,industrioso,1,industri
616,inestimable,1,inestim
617,infalibilidad,1,infalibil
618,influyente,1,influyent
619,ingenioso,1,ingeni
620,ingenuo,1,ingenu
621,inocuo,1,inocu
622,innovaciÃ³n,1,innovaciã³n
623,innovador,1,innov
624,deprimido,1,deprim
625,perspicaz,1,perspicaz
626,inspiraciÃ³n,1,inspiraciã³n
627,inspirador,1,inspir
628,instantÃ¡neamente,1,instantã¡n
629,instructivo,1,instruct
630,instrumental,1,instrumental
631,integral,1,integral
632,integrado,1,integr
633,inteligible,1,intelig
634,interesante,1,interes
635,intimidad,1,intim
636,Ã­ntimo,1,ã­ntim
637,intrincado,1,intrinc
638,intriga,1,intrig
639,intuitivo,1,intuit
640,invaluable,1,invalu
641,inventivo,1,invent
642,vigorizar,1,vigoriz
643,invencibilidad,1,invencibil
644,invencible,1,invenc
645,inviolable,1,inviol
646,invulnerable,1,invulner
647,insustituible,1,insustitu
648,irreprochable,1,irreproch
649,irresistible,1,irresist
650,problemas,1,problem
651,jovial,1,jovial
652,jubilaciÃ³n,1,jubilaciã³n
653,juicioso,1,juicios
654,afilado,1,afil
655,penetrante,1,penetr
656,agudeza,1,agudez
657,niÃ±os,1,niã±
658,prestigio,1,prestigi
659,gran,1,gran
660,alabar,1,alab
661,loable,1,loabl
662,loablemente,1,loablement
663,prodigar,1,prodig
664,lujosamente,1,luj
665,respetuoso,1,respetu
666,ley,1,ley
667,legal,1,legal
668,dirigir,1,dirig
669,lÃ­der,1,lã­der
670,apoyarse,1,apoy
671,LED,1,led
672,legendario,1,legendari
673,apalancamiento,1,apalanc
674,ligereza,1,ligerez
675,liberaciÃ³n,1,liberaciã³n
676,salvador,1,salvador
677,vida,1,vid
678,encendedor,1,encendedor
679,me,1,me
680,gusta,1,gust
681,gustÃ³,1,gustã³
682,corazÃ³n,1,corazã³n
683,leÃ³n,1,leã³n
684,lÃ³gico,1,lã³gic
685,duradero,1,durader
686,amor,1,amor
687,hermosura,1,hermosur
688,amante,1,amant
689,ama,1,ama
690,bajo,1,baj
691,precio,1,preci
692,riesgo,1,riesg
693,menor,1,menor
694,leal,1,leal
695,lealtad,1,lealt
696,lÃºcido,1,lãºcid
697,lucrativo,1,lucrat
698,lozano,1,lozan
699,lustre,1,lustr
700,lustroso,1,lustros
701,lÃ­rico,1,lã­ric
702,magia,1,magi
703,mÃ¡gico,1,mã¡gic
704,magnÃ¡nimo,1,magnã¡nim
705,magnificencia,1,magnificent
706,majestuoso,1,majestu
707,majestad,1,majest
708,maniobrable,1,maniobr
709,Maestro,1,maestr
710,magistralmente,1,magistral
711,obra,1,obra
712,obras,1,obras
713,maestrÃ­a,1,maestrã­
714,incomparable,1,incompar
715,maduro,1,madur
716,madurez,1,madurez
717,misericordioso,1,misericordi
718,piadosamente,1,piad
719,mÃ©rito,1,mã©rit
720,meritorio,1,meritori
721,hipnotizar,1,hipnotiz
722,meticuloso,1,meticul
723,poderosamente,1,poder
724,alucinante,1,alucin
725,milagro,1,milagr
726,moderno,1,modern
727,modesto,1,modest
728,modestia,1,modesti
729,trascendental,1,trascendental
730,monumental,1,monumental
731,moralidad,1,moral
732,motivado,1,motiv
733,mÃºltiples,1,mãºltipl
734,navegable,1,naveg
735,ordenado,1,orden
736,pulcramente,1,pulcr
737,bonito,1,bonit
738,noble,1,nobl
739,silencioso,1,silenci
740,no,1,no
741,violencia,1,violenci
742,violento,1,violent
743,notablemente,1,notabl
744,nutrir,1,nutr
745,nutritivo,1,nutrit
746,alimento,1,aliment
747,novedad,1,noved
748,oasis,1,oasis
749,obsesiÃ³n,1,obsesiã³n
750,obsesiones,1,obsesion
751,abiertamente,1,abiert
752,franqueza,1,franquez
753,Ã³ptimo,1,ã³ptim
754,optimismo,1,optim
755,opulento,1,opulent
756,originalidad,1,original
757,superado,1,super
758,eclipsar,1,eclips
759,burlar,1,burl
760,ovaciÃ³n,1,ovaciã³n
761,lleno,1,llen
762,adelantar,1,adelant
763,obertura,1,obertur
764,dolor,1,dolor
765,palaciego,1,palacieg
766,mimar,1,mim
767,panorÃ¡mico,1,panorã¡m
768,paraÃ­so,1,paraã­s
769,supremo,1,suprem
770,perdÃ³n,1,perdã³n
771,pasiÃ³n,1,pasiã³n
772,paciencia,1,pacienci
773,paciente,1,pacient
774,patriota,1,patriot
775,patriÃ³tico,1,patriã³t
776,paz,1,paz
777,pacÃ­fico,1,pacã­fic
778,pacificadores,1,pacif
779,melocotÃ³n,1,melocotã³n
780,presente,1,present
781,perfecciÃ³n,1,perfecciã³n
782,permisible,1,permis
783,perseverancia,1,persever
784,personajes,1,personaj
785,personalizado,1,personaliz
786,fenomenal,1,fenomenal
787,pintoresco,1,pintoresc
788,piedad,1,pied
789,pinÃ¡culo,1,pinã¡cul
790,juguetÃ³n,1,juguetã³n
791,broma,1,brom
792,gratamente,1,grat
793,Placer,1,plac
794,felpa,1,felp
795,poÃ©tico,1,poã©tic
796,poetizar,1,poetiz
797,conmovedor,1,conmovedor
798,equilibrio,1,equilibri
799,listo,1,list
800,pulido,1,pul
801,cortesÃ­a,1,cortesã­
802,popular,1,popul
803,portÃ¡til,1,portã¡til
804,positivo,1,posit
805,preeminente,1,preeminent
806,precioso,1,precios
807,preferir,1,prefer
808,prefiere,1,prefier
809,prefiriendo,1,prefir
810,ministro,1,ministr
811,tiene,1,tien
812,orgullo,1,orgull
813,principios,1,principi
814,privilegio,1,privilegi
815,proactivo,1,proactiv
816,solucionador,1,solucion
817,prodigioso,1,prodigi
818,productivo,1,product
819,competente,1,competent
820,profundo,1,profund
821,profuso,1,profus
822,profusiÃ³n,1,profusiã³n
823,prolÃ­fico,1,prolã­fic
824,prominencia,1,prominent
825,promesa,1,promes
826,prometido,1,promet
827,prometedor,1,prometedor
828,promotor,1,promotor
829,prontamente,1,pront
830,pros,1,pros
831,prosperar,1,prosper
832,prÃ³spero,1,prã³sper
833,proteger,1,proteg
834,protecciÃ³n,1,protecciã³n
835,protector,1,protector
836,probado,1,prob
837,providencia,1,provident
838,prudencia,1,prudenci
839,prudente,1,prudent
840,puntual,1,puntual
841,puro,1,pur
842,purificar,1,purific
843,Ãºtil,1,ãºtil
844,calificado,1,calific
845,tranquilo,1,tranquil
846,radiante,1,radiant
847,compenetraciÃ³n,1,compenetraciã³n
848,arrebatado,1,arrebat
849,rapto,1,rapt
850,racional,1,racional
851,legible,1,legibl
852,reafirmar,1,reafirm
853,reafirmaciÃ³n,1,reafirmaciã³n
854,realista,1,realist
855,razonable,1,razon
856,seguridades,1,segur
857,tranquilizar,1,tranquiliz
858,receptivo,1,recept
859,reclamar,1,reclam
860,recomendaciÃ³n,1,recomendaciã³n
861,reconciliaciÃ³n,1,reconciliaciã³n
862,establecimiento,1,establec
863,rÃ©cord,1,rã©cord
864,recuperar,1,recuper
865,recuperaciÃ³n,1,recuperaciã³n
866,rectificaciÃ³n,1,rectificaciã³n
867,rectificar,1,rectific
868,redimir,1,redim
869,redentor,1,redentor
870,redenciÃ³n,1,redenciã³n
871,refinar,1,refin
872,reforma,1,reform
873,actualizar,1,actualiz
874,refrescado,1,refresc
875,reintegrado,1,reintegr
876,real,1,real
877,regiamente,1,regi
878,rejuvenecer,1,rejuvenec
879,rejuvenecedor,1,rejuvenecedor
880,relajado,1,relaj
881,ceder,1,ced
882,saborear,1,sabor
883,remedio,1,remedi
884,remisiÃ³n,1,remisiã³n
885,remunerar,1,remuner
886,Renacimiento,1,renac
887,renovado,1,renov
888,renombre,1,renombr
889,reemplazable,1,reemplaz
890,acreditado,1,acredit
891,reputaciÃ³n,1,reputaciã³n
892,elÃ¡stico,1,elã¡stic
893,resuelto,1,resuelt
894,resonar,1,reson
895,rotundo,1,rotund
896,respeto,1,respet
897,respiro,1,respir
898,responsablemente,1,respons
899,sensible,1,sensibl
900,sosegado,1,soseg
901,restaurado,1,restaur
902,reestructurar,1,reestructur
903,reestructuraciÃ³n,1,reestructuraciã³n
904,retrÃ¡ctil,1,retrã¡ctil
905,jaranear,1,jaran
906,revelaciÃ³n,1,revelaciã³n
907,reverenciar,1,reverenci
908,reverencia,1,reverent
909,revitalizar,1,revitaliz
910,reanimar,1,reanim
911,revive,1,reviv
912,revolucionar,1,revolucion
913,recompensa,1,recompens
914,riqueza,1,riquez
915,derecho,1,derech
916,enderezar,1,enderez
917,legÃ­timo,1,legã­tim
918,robusto,1,robust
919,estrella,1,estrell
920,rock,1,rock
921,romÃ¡ntico,1,romã¡ntic
922,romantizar,1,romantiz
923,espacioso,1,espaci
924,rosado,1,ros
925,peligro,1,peligr
926,sagacidad,1,sagac
927,sabiamente,1,sabi
928,santidad,1,santid
929,cuerdo,1,cuerd
930,satisfactoriamente,1,satisfactori
931,comprensiÃ³n,1,comprensiã³n
932,escÃ©nico,1,escã©nic
933,costura,1,costur
934,sazonado,1,sazon
935,selectivo,1,select
936,determinaciÃ³n,1,determinaciã³n
937,ti,1,ti
938,mismo,1,mism
939,autosatisfacciÃ³n,1,autosatisfacciã³n
940,autosuficiencia,1,autosuficient
941,sensaciÃ³n,1,sensaciã³n
942,sensacional,1,sensacional
943,sensaciones,1,sensacion
944,sensato,1,sensat
945,sesudamente,1,sesud
946,sereno,1,seren
947,sexy,1,sexy
948,agudo,1,agud
949,estafador,1,estaf
950,reluciente,1,relucient
951,brillar,1,brill
952,simple,1,simpl
953,simplificado,1,simplific
954,simplifica,1,simplif
955,habilidad,1,habil
956,flamante,1,flamant
957,resbaloso,1,resbal
958,sonreÃ­r,1,sonreã­r
959,sonrisas,1,sonris
960,sonriente,1,sonrient
961,sonriendo,1,sonr
962,enamorado,1,enamor
963,suave,1,suav
964,suaviza,1,suaviz
965,suavemente,1,suavement
966,sociable,1,sociabl
967,consuelo,1,consuel
968,solÃ­cito,1,solã­cit
969,sÃ³lido,1,sã³lid
970,solidaridad,1,solidar
971,sofisticado,1,sofistic
972,solvencia,1,solvenci
973,espumoso,1,espum
974,espectacular,1,espectacul
975,espectacularmente,1,espectacular
976,hechizar,1,hechiz
977,espiritual,1,espiritual
978,esplÃ©ndido,1,esplã©ndid
979,esplendor,1,esplendor
980,espontÃ¡neo,1,espontã¡ne
981,deportivo,1,deport
982,estabilidad,1,estabil
983,estabilizar,1,estabiliz
984,estable,1,establ
985,inoxidable,1,inoxid
986,destacar,1,destac
987,Ãºltimo,1,ãºltim
988,estatuario,1,estatuari
989,incondicionalmente,1,incondicional
990,firmeza,1,firmez
991,firmemente,1,firmement
992,constancia,1,constanci
993,estelar,1,estel
994,estelarmente,1,estelar
995,sencillo,1,sencill
996,sorprendentes,1,sorprendent
997,esforzarse,1,esforz
998,fuerte,1,fuert
999,aturdido,1,aturd
1000,estilizado,1,estiliz
1001,sublime,1,sublim
1002,subvencionar,1,subvencion
1003,subsidia,1,subsidi
1004,sustantivo,1,sustant
1005,tener,1,ten
1006,tuvo,1,tuv
1007,subsiguiente,1,subsiguient
1008,triunfa,1,triunf
1009,exitoso,1,exit
1010,es,1,es
1011,suntuoso,1,suntuos
1012,suntuosamente,1,suntu
1013,sÃºper,1,sãºper
1014,superior,1,superior
1015,soportado,1,soport
1016,seguidor,1,seguidor
1017,secundario,1,secundari
1018,supremacÃ­a,1,supremacã­
